2.9892e+03 0.0000e+00 0.0000e+00
2.9894e+03 2.4110e-16 9.3134e-16
2.9896e+03 7.3544e-16 9.1120e-16
2.9898e+03 5.2492e-17 8.8856e-16
2.9900e+03 -4.6169e-16 8.8006e-16
2.9902e+03 -9.2088e-16 8.7446e-16
2.9904e+03 -5.1657e-16 8.5864e-16
2.9906e+03 4.1914e-16 8.4455e-16
2.9908e+03 5.8975e-16 8.0118e-16
2.9910e+03 -2.0705e-16 7.6888e-16
2.9912e+03 8.0477e-16 8.1652e-16
2.9914e+03 6.6354e-16 7.8759e-16
2.9916e+03 -2.5432e-16 7.7248e-16
2.9918e+03 -5.3628e-16 7.5971e-16
2.9920e+03 -1.1173e-15 7.5031e-16
2.9922e+03 -1.0962e-15 7.4320e-16
2.9924e+03 3.4702e-16 7.1800e-16
2.9926e+03 -4.2650e-16 7.1811e-16
2.9928e+03 1.2457e-15 7.0059e-16
2.9930e+03 4.1380e-16 6.8741e-16
2.9932e+03 -5.1126e-16 6.9476e-16
2.9934e+03 4.8843e-17 6.2618e-16
2.9936e+03 8.4182e-16 6.2294e-16
2.9938e+03 -5.7061e-16 6.1372e-16
2.9940e+03 4.3646e-16 6.2505e-16
2.9942e+03 3.8467e-16 6.0955e-16
2.9944e+03 5.8825e-18 6.1673e-16
2.9946e+03 3.4194e-16 6.0458e-16
2.9948e+03 4.4663e-17 5.8555e-16
2.9950e+03 -1.1125e-15 5.7163e-16
2.9952e+03 -5.1141e-16 5.6456e-16
2.9954e+03 -7.6774e-16 5.4485e-16
2.9956e+03 -3.6554e-16 5.2789e-16
2.9958e+03 -3.0269e-16 5.3034e-16
2.9960e+03 7.2713e-16 5.1639e-16
2.9962e+03 3.9650e-16 5.0938e-16
2.9964e+03 -2.7677e-16 5.0023e-16
2.9966e+03 4.3638e-16 4.8463e-16
2.9968e+03 -1.7691e-16 4.7578e-16
2.9970e+03 1.5571e-16 4.5005e-16
2.9972e+03 -3.8898e-16 4.6562e-16
2.9974e+03 -2.0332e-17 4.3905e-16
2.9976e+03 -1.2517e-16 4.5358e-16
2.9978e+03 -2.1606e-16 4.3546e-16
